backbone,arm_id,arm_name,seed,trainable_parameters,total_parameters,wall_clock_seconds,peak_memory_mb,inference_latency_ms,n_train_examples,n_train_pos,n_train_neg,val_mrr,val_top1,val_top3,val_ndcg,val_auprc,val_ece,val_brier,test_mrr,test_top1,test_top3,test_ndcg,test_auprc,test_ece,test_brier
chemformer,A0,positive_only,20260721,180737,19363937,20.05,364.55,68.488,394,394,0,0.280205,0.098039,0.215686,0.446352,0.144971,0.850757,0.833179,0.195541,0.0,0.127273,0.380196,0.092889,0.850711,0.833116
chemformer,A0,positive_only,20260722,180737,19363937,20.31,365.3,77.3957,394,394,0,0.311765,0.117647,0.27451,0.471842,0.157776,0.866655,0.860468,0.250823,0.054545,0.218182,0.423782,0.124171,0.866647,0.860457
chemformer,A0,positive_only,20260723,180737,19363937,16.81,365.3,88.639,394,394,0,0.323739,0.137255,0.294118,0.479875,0.143362,0.851231,0.833971,0.290606,0.054545,0.345455,0.456945,0.115102,0.85121,0.833942
chemformer,A0,positive_only,20260724,180737,19363937,22.22,365.3,79.4106,394,394,0,0.30028,0.117647,0.27451,0.461217,0.139415,0.869601,0.865581,0.294589,0.109091,0.236364,0.45759,0.119638,0.869597,0.865576
chemformer,A0,positive_only,20260725,180737,19363937,16.08,365.3,68.1141,394,394,0,0.32598,0.137255,0.294118,0.482027,0.180621,0.84771,0.827989,0.326558,0.145455,0.309091,0.482351,0.133361,0.847689,0.827959
chemformer,A0,positive_only,20260726,180737,19363937,13.15,365.3,123.5595,394,394,0,0.281092,0.078431,0.254902,0.447194,0.118047,0.765601,0.695556,0.213139,0.036364,0.109091,0.392989,0.115591,0.765513,0.695462
chemformer,A0,positive_only,20260727,180737,19363937,11.23,365.3,67.7439,394,394,0,0.333427,0.058824,0.431373,0.493586,0.154974,0.741221,0.658735,0.376299,0.109091,0.509091,0.526522,0.151446,0.741314,0.658868
chemformer,A0,positive_only,20260728,180737,19363937,20.84,365.3,83.6588,394,394,0,0.262465,0.058824,0.215686,0.433454,0.106752,0.871207,0.868378,0.244242,0.054545,0.163636,0.417968,0.114106,0.871202,0.868371
chemformer,A0,positive_only,20260729,180737,19363937,12.47,365.3,99.1467,394,394,0,0.423436,0.196078,0.54902,0.561445,0.14693,0.755401,0.679992,0.479394,0.218182,0.654545,0.607247,0.186506,0.755417,0.679991
chemformer,A0,positive_only,20260730,180737,19363937,20.65,365.3,115.0115,394,394,0,0.286298,0.098039,0.254902,0.451635,0.130152,0.871785,0.869386,0.263506,0.072727,0.2,0.433104,0.115748,0.87178,0.869378
chemformer,A1,random_mismatch,20260721,180737,19363937,27.07,365.3,66.8189,788,394,394,0.39916,0.117647,0.568627,0.544241,0.156313,0.374463,0.249527,0.419004,0.163636,0.581818,0.560101,0.166424,0.374666,0.249626
chemformer,A1,random_mismatch,20260722,180737,19363937,28.63,365.3,82.977,788,394,394,0.412442,0.156863,0.627451,0.554088,0.171427,0.39577,0.265938,0.469719,0.236364,0.6,0.598373,0.249155,0.395964,0.266051
chemformer,A1,random_mismatch,20260723,180737,19363937,23.3,365.3,73.3814,788,394,394,0.402801,0.156863,0.509804,0.547195,0.155641,0.363251,0.241226,0.466667,0.236364,0.527273,0.596487,0.213876,0.363434,0.241317
chemformer,A1,random_mismatch,20260724,180737,19363937,30.72,365.3,80.9503,788,394,394,0.399393,0.156863,0.54902,0.543746,0.166808,0.404387,0.272819,0.461082,0.181818,0.690909,0.594118,0.214765,0.40459,0.272886
chemformer,A1,random_mismatch,20260725,180737,19363937,31.79,365.3,78.134,788,394,394,0.313959,0.078431,0.333333,0.475637,0.104022,0.364642,0.242377,0.272338,0.072727,0.2,0.441385,0.100176,0.364661,0.242385
chemformer,A1,random_mismatch,20260726,180737,19363937,30.3,365.3,85.0328,788,394,394,0.413679,0.156863,0.607843,0.554548,0.16373,0.372551,0.248129,0.40881,0.181818,0.454545,0.550067,0.17898,0.372766,0.248268
chemformer,A1,random_mismatch,20260727,180737,19363937,26.21,365.3,75.8806,788,394,394,0.389449,0.137255,0.529412,0.536641,0.165827,0.369418,0.245738,0.436407,0.181818,0.6,0.573488,0.195292,0.369748,0.245926
chemformer,A1,random_mismatch,20260728,180737,19363937,31.67,365.3,65.4936,788,394,394,0.398109,0.117647,0.607843,0.543832,0.145972,0.340124,0.22496,0.405758,0.127273,0.618182,0.550878,0.16446,0.340478,0.225138
chemformer,A1,random_mismatch,20260729,180737,19363937,17.14,365.3,82.4961,788,394,394,0.396755,0.137255,0.568627,0.542405,0.15671,0.363376,0.241349,0.44303,0.145455,0.672727,0.58064,0.209906,0.363551,0.24138
chemformer,A1,random_mismatch,20260730,180737,19363937,30.27,365.3,70.3957,788,394,394,0.389472,0.137255,0.529412,0.535668,0.146089,0.340413,0.225224,0.370043,0.109091,0.545455,0.521547,0.16005,0.340605,0.225323
chemformer,A2,random_corruption,20260721,180737,19363937,37.73,365.3,97.796,788,394,394,0.397432,0.137255,0.529412,0.543437,0.168274,0.369457,0.245757,0.455152,0.2,0.618182,0.588244,0.198137,0.369744,0.245938
chemformer,A2,random_corruption,20260722,180737,19363937,32.7,365.3,92.598,788,394,394,0.489729,0.27451,0.568627,0.612079,0.202402,0.350245,0.231958,0.440455,0.2,0.581818,0.575842,0.224778,0.350422,0.23206
chemformer,A2,random_corruption,20260723,180737,19363937,38.99,365.3,82.2303,788,394,394,0.406583,0.156863,0.490196,0.549921,0.156852,0.332255,0.219461,0.486667,0.254545,0.563636,0.611746,0.202728,0.332718,0.219674
chemformer,A2,random_corruption,20260724,180737,19363937,39.13,365.3,107.3455,788,394,394,0.376517,0.137255,0.470588,0.526512,0.149875,0.401954,0.2708,0.464545,0.218182,0.581818,0.595054,0.197123,0.402195,0.270881
chemformer,A2,random_corruption,20260725,180737,19363937,41.75,365.3,60.4371,788,394,394,0.393487,0.137255,0.509804,0.540362,0.173017,0.35955,0.238446,0.467879,0.218182,0.636364,0.598376,0.21821,0.360051,0.238708
chemformer,A2,random_corruption,20260726,180737,19363937,34.64,365.3,65.04,788,394,394,0.464869,0.254902,0.529412,0.593186,0.17514,0.360505,0.239199,0.493506,0.272727,0.618182,0.616038,0.212301,0.360842,0.239393
chemformer,A2,random_corruption,20260727,180737,19363937,21.96,365.3,83.2586,788,394,394,0.377684,0.117647,0.509804,0.527434,0.165247,0.346665,0.229414,0.457316,0.218182,0.563636,0.588582,0.236267,0.347075,0.229643
chemformer,A2,random_corruption,20260728,180737,19363937,21.04,365.3,68.4183,788,394,394,0.421148,0.156863,0.607843,0.560933,0.150001,0.398545,0.268172,0.371818,0.090909,0.527273,0.524483,0.159745,0.398684,0.268262
chemformer,A2,random_corruption,20260729,180737,19363937,20.09,365.3,65.0124,788,394,394,0.401167,0.156863,0.54902,0.545396,0.152331,0.360413,0.239181,0.441818,0.163636,0.6,0.579141,0.208819,0.360574,0.239201
chemformer,A2,random_corruption,20260730,180737,19363937,33.94,365.3,70.2951,788,394,394,0.399673,0.137255,0.529412,0.545045,0.157402,0.382173,0.255326,0.43,0.181818,0.545455,0.569131,0.201987,0.382438,0.255482
chemformer,A3,tanimoto_retrieval,20260721,180737,19363937,26.69,365.3,82.8451,788,394,394,0.393581,0.137255,0.588235,0.539529,0.155576,0.354205,0.234657,0.429091,0.145455,0.636364,0.569305,0.201812,0.354484,0.234553
chemformer,A3,tanimoto_retrieval,20260722,180737,19363937,21.06,365.3,74.2031,788,394,394,0.390266,0.137255,0.529412,0.535747,0.156085,0.354673,0.235147,0.395476,0.163636,0.454545,0.540268,0.170384,0.354828,0.235226
chemformer,A3,tanimoto_retrieval,20260723,180737,19363937,14.8,365.3,69.2827,788,394,394,0.382446,0.176471,0.45098,0.527073,0.161311,0.390751,0.262069,0.409892,0.163636,0.527273,0.551845,0.199038,0.390817,0.262079
chemformer,A3,tanimoto_retrieval,20260724,180737,19363937,24.66,365.3,66.3794,788,394,394,0.385341,0.137255,0.470588,0.531992,0.136993,0.411293,0.278514,0.399134,0.127273,0.563636,0.544702,0.162179,0.411329,0.278389
chemformer,A3,tanimoto_retrieval,20260725,180737,19363937,25.22,365.3,69.0732,788,394,394,0.281933,0.058824,0.372549,0.450338,0.129615,0.365837,0.243272,0.247576,0.0,0.218182,0.425142,0.111925,0.365789,0.243198
chemformer,A3,tanimoto_retrieval,20260726,180737,19363937,28.78,365.3,63.9617,788,394,394,0.394981,0.156863,0.490196,0.539005,0.16508,0.375493,0.250312,0.386234,0.127273,0.490909,0.534322,0.177774,0.37598,0.25056
chemformer,A3,tanimoto_retrieval,20260727,180737,19363937,14.91,365.3,67.8369,788,394,394,0.40915,0.215686,0.470588,0.548018,0.171869,0.350214,0.232002,0.433506,0.236364,0.472727,0.567771,0.195888,0.350332,0.232073
chemformer,A3,tanimoto_retrieval,20260728,180737,19363937,20.44,365.3,63.289,788,394,394,0.359407,0.137255,0.411765,0.510886,0.136433,0.310984,0.206098,0.350671,0.109091,0.454545,0.506175,0.135141,0.311051,0.20611
chemformer,A3,tanimoto_retrieval,20260729,180737,19363937,20.22,365.3,71.0045,788,394,394,0.405649,0.156863,0.54902,0.54774,0.150721,0.3812,0.254648,0.422294,0.145455,0.563636,0.562953,0.166413,0.381407,0.254716
chemformer,A3,tanimoto_retrieval,20260730,180737,19363937,15.3,365.3,55.8008,788,394,394,0.262838,0.039216,0.27451,0.435774,0.116649,0.349779,0.231838,0.242835,0.036364,0.181818,0.417903,0.103823,0.349522,0.231723
chemformer,A4,template_perturbation,20260721,180737,19363937,21.41,365.3,68.4527,788,394,394,0.426704,0.176471,0.568627,0.565082,0.177611,0.410243,0.277642,0.416082,0.181818,0.490909,0.556411,0.19143,0.410348,0.277718
chemformer,A4,template_perturbation,20260722,180737,19363937,15.37,365.3,59.1753,788,394,394,0.381162,0.176471,0.392157,0.525781,0.154057,0.417413,0.283605,0.318009,0.109091,0.309091,0.476373,0.138023,0.417417,0.283629
chemformer,A4,template_perturbation,20260723,180737,19363937,26.67,365.3,72.1871,788,394,394,0.349556,0.058824,0.54902,0.507607,0.14229,0.404369,0.272827,0.382424,0.109091,0.472727,0.533283,0.157148,0.40449,0.272896
chemformer,A4,template_perturbation,20260724,180737,19363937,26.57,365.3,72.803,788,394,394,0.417577,0.176471,0.568627,0.557146,0.161056,0.4153,0.281811,0.464545,0.218182,0.636364,0.595756,0.222545,0.415438,0.281876
chemformer,A4,template_perturbation,20260725,180737,19363937,27.74,365.3,74.3258,788,394,394,0.434641,0.215686,0.529412,0.569202,0.163782,0.409991,0.27742,0.434156,0.2,0.490909,0.570299,0.166969,0.410067,0.277437
chemformer,A4,template_perturbation,20260726,180737,19363937,27.23,365.3,66.4075,788,394,394,0.418464,0.156863,0.568627,0.559389,0.16105,0.367324,0.244187,0.448939,0.181818,0.581818,0.583513,0.204177,0.367652,0.244363
chemformer,A4,template_perturbation,20260727,180737,19363937,26.02,365.3,82.0089,788,394,394,0.388305,0.137255,0.490196,0.534727,0.174702,0.368855,0.245362,0.447186,0.218182,0.527273,0.58,0.212547,0.369124,0.245533
chemformer,A4,template_perturbation,20260728,180737,19363937,28.71,365.3,68.0311,788,394,394,0.359734,0.078431,0.568627,0.514473,0.140807,0.337124,0.222975,0.390325,0.109091,0.545455,0.538111,0.150706,0.337302,0.223065
chemformer,A4,template_perturbation,20260729,180737,19363937,15.7,365.3,74.0046,788,394,394,0.367834,0.098039,0.529412,0.520128,0.154059,0.363587,0.241515,0.438788,0.145455,0.654545,0.577238,0.198319,0.363733,0.241532
chemformer,A4,template_perturbation,20260730,180737,19363937,21.43,365.3,69.6487,788,394,394,0.265359,0.039216,0.254902,0.436417,0.119677,0.372397,0.248075,0.267078,0.054545,0.309091,0.437498,0.112936,0.372294,0.248012
chemformer,A5,unconstrained_edit,20260721,180737,19363937,19.87,365.3,80.2494,788,394,394,0.397899,0.117647,0.529412,0.544703,0.159275,0.408847,0.276386,0.456364,0.2,0.636364,0.589515,0.184718,0.409094,0.27656
chemformer,A5,unconstrained_edit,20260722,180737,19363937,20.1,365.3,55.6876,788,394,394,0.412138,0.137255,0.588235,0.555569,0.186716,0.416399,0.282606,0.475628,0.218182,0.672727,0.604445,0.248531,0.416665,0.282763
chemformer,A5,unconstrained_edit,20260723,180737,19363937,32.89,365.3,69.7936,788,394,394,0.420962,0.176471,0.509804,0.561179,0.162105,0.387504,0.25894,0.485152,0.254545,0.618182,0.610766,0.220728,0.388537,0.259511
chemformer,A5,unconstrained_edit,20260724,180737,19363937,34.15,365.3,60.7216,788,394,394,0.380766,0.117647,0.54902,0.531059,0.160536,0.411746,0.278514,0.466234,0.218182,0.618182,0.596939,0.225558,0.412528,0.278893
chemformer,A5,unconstrained_edit,20260725,180737,19363937,32.32,365.3,77.4753,788,394,394,0.380579,0.137255,0.45098,0.529618,0.170895,0.358892,0.237679,0.479394,0.254545,0.6,0.606088,0.251815,0.360013,0.238247
chemformer,A5,unconstrained_edit,20260726,180737,19363937,25.77,365.3,62.093,788,394,394,0.428945,0.196078,0.490196,0.566551,0.162939,0.390935,0.261842,0.495931,0.254545,0.636364,0.619231,0.207301,0.391781,0.2623
chemformer,A5,unconstrained_edit,20260727,180737,19363937,32.31,365.3,76.5125,788,394,394,0.358357,0.098039,0.490196,0.51333,0.169158,0.37044,0.245924,0.449264,0.218182,0.509091,0.582445,0.241041,0.372182,0.246894
chemformer,A5,unconstrained_edit,20260728,180737,19363937,32.67,365.3,71.8196,788,394,394,0.403782,0.156863,0.509804,0.548139,0.171957,0.386912,0.25846,0.476364,0.236364,0.636364,0.604529,0.241112,0.387991,0.259022
chemformer,A5,unconstrained_edit,20260729,180737,19363937,32.23,365.3,77.6601,788,394,394,0.378268,0.117647,0.529412,0.528939,0.168417,0.367922,0.243937,0.448788,0.181818,0.654545,0.584065,0.23464,0.369443,0.244643
chemformer,A5,unconstrained_edit,20260730,180737,19363937,18.93,365.3,64.266,788,394,394,0.393838,0.137255,0.490196,0.54046,0.168772,0.344291,0.227774,0.460606,0.218182,0.6,0.592438,0.236854,0.344561,0.227904
chemformer,A6,rule_pc_cng,20260721,180737,19363937,33.88,365.3,76.9941,788,394,394,0.397432,0.137255,0.529412,0.543437,0.168274,0.369457,0.245757,0.455152,0.2,0.618182,0.588244,0.198137,0.369744,0.245938
chemformer,A6,rule_pc_cng,20260722,180737,19363937,28.94,365.3,74.5527,788,394,394,0.489729,0.27451,0.568627,0.612079,0.202402,0.350245,0.231958,0.440455,0.2,0.581818,0.575842,0.224778,0.350422,0.23206
chemformer,A6,rule_pc_cng,20260723,180737,19363937,35.37,365.3,73.2373,788,394,394,0.406583,0.156863,0.490196,0.549921,0.156852,0.332255,0.219461,0.486667,0.254545,0.563636,0.611746,0.202728,0.332718,0.219674
chemformer,A6,rule_pc_cng,20260724,180737,19363937,35.22,365.3,73.2406,788,394,394,0.376517,0.137255,0.470588,0.526512,0.149875,0.401954,0.2708,0.464545,0.218182,0.581818,0.595054,0.197123,0.402195,0.270881
chemformer,A6,rule_pc_cng,20260725,180737,19363937,36.19,365.3,74.1009,788,394,394,0.393487,0.137255,0.509804,0.540362,0.173017,0.35955,0.238446,0.467879,0.218182,0.636364,0.598376,0.21821,0.360051,0.238708
chemformer,A6,rule_pc_cng,20260726,180737,19363937,33.97,365.3,73.0479,788,394,394,0.464869,0.254902,0.529412,0.593186,0.17514,0.360505,0.239199,0.493506,0.272727,0.618182,0.616038,0.212301,0.360842,0.239393
chemformer,A6,rule_pc_cng,20260727,180737,19363937,20.75,365.3,58.0959,788,394,394,0.377684,0.117647,0.509804,0.527434,0.165247,0.346665,0.229414,0.457316,0.218182,0.563636,0.588582,0.236267,0.347075,0.229643
